name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Swarm Launcher,swarm_launcher,0,,30000,1,,1,1,0,0,20,,,,FRAGMENTATION,0,,0.25,1.25,,,0,0,0,0,,1,1,0.1,1,,,"DO_NOT_AIM, NO_MANUAL_FIRE","threat, fragment, restricted, codex_unlockable, no_standard_data, swarm1",,Threat,,Special,,,,,"Requires the %s hullmod and uses %s fragments per swarm launched. Can control up to %s swarms concurrently, but will wait to launch new swarms until the existing ones are depleted.",Fragment Swarm|50|4,This weapon can not be fired manually and will always launch swarms as soon as it is possible to do so.,,,14
Seeker Fragment,seeker_fragment,0,,3000,2000,,600,,,0,3,,,,HIGH_EXPLOSIVE,,,0.25,0.75,1,,,,,,,300,0,15,500,,,"IMPORTANT, DO_NOT_AIM, RANGE_FROM_SHIP_RADIUS","threat, fragment, restricted, codex_unlockable, missile1",,Threat,,General,Medium,Excellent,,,Requires the %s hullmod and uses %s fragments per shot.,Fragment Swarm|10,,,TRUE,15
Kinetic Fragments,kinetic_fragments,0,,3000,1500,,400,,,0,4,,,,KINETIC,0,,0.25,0.25,1,,,,,,,400,0,5,300,,,"IMPORTANT, DO_NOT_CONSERVE, DO_NOT_AIM, RANGE_FROM_SHIP_RADIUS","threat, fragment, restricted, codex_unlockable, kinetic1, rocket1",,Threat,,Anti Shield,Fast,Special,,,Requires the %s hullmod and uses %s fragments per shot. Secondary fragments deal %s kinetic damage per impact.,Fragment Swarm|5|100,,,TRUE,15.1
Unstable Fragment,unstable_fragment,0,,3000,500,,750,,,0,2,,,,FRAGMENTATION,,,0.25,0.75,1,,,,,,,100,0,5,300,,,"PD, ANTI_FTR, DO_NOT_AIM, RANGE_FROM_TARGETING_OVAL","threat, fragment, restricted, codex_unlockable, pd1, rocket1",,Threat,,Anti Fighter (Area),Very Slow,Special,,,Requires the %s hullmod and uses %s fragment per shot. Unguided after a brief initial aiming stage.,Fragment Swarm|1,,,TRUE,15.25
Defabrication Swarm,devouring_swarm,0,,3000,200000,,200,,,0,3,,,,HIGH_EXPLOSIVE,,,0.25,0.75,1,,,,,0,,250,,99999,1000,,,"IGNORES_FLARES, NO_MANUAL_FIRE, USE_VS_FRIGATES, DO_NOT_AIM, DO_NOT_CONSERVE, DIRECT_AIM, MISSILE_SPREAD, RANGE_FROM_SHIP_RADIUS, USE_LESS_VS_SHIELDS","threat, fragment, restricted, codex_unlockable, he1",,Threat,,Anti Armor,Medium,Excellent,,,Requires the %s hullmod and at least %s fragments per shot. Deals no damage vs shields.,Fragment Swarm|6|50|no damage,"A swarm of fragments attacks the target, eating through its armor and dismantling the hull once it's exposed, creating new fragments that return to the launching ship's swarm.",,TRUE,15.5



Small Locust Cannon,adel_fragmentdriver_small,0,,3000,2500,,200,,,0,3,,,,HIGH_EXPLOSIVE,,,0.25,0.75,1,,,,,0,,250,,20,1000,,,"STRIKE, USE_VS_FRIGATES, DO_NOT_AIM, CONSERVE_ALL, CONSERVE_FOR_ANTI_ARMOR, DIRECT_AIM, MISSILE_SPREAD, RANGE_FROM_SHIP_RADIUS, USE_LESS_VS_SHIELDS","threat, fragment, restricted, codex_unlockable, he1",,Threat,,Anti Armor,Medium,Excellent,,,Requires the %s hullmod and at least %s fragments per shot. Deals no damage vs shields.,Fragment Swarm|6|50|no damage,"A swarm of fragments attacks the target, eating through its armor and dismantling the hull once it's exposed, creating new fragments that return to the launching ship's swarm.",,TRUE,15.5
Medium Locust Cannon,adel_fragmentdriver_medium,0,,3000,2500,,200,,,0,3,,,,HIGH_EXPLOSIVE,,,0.25,0.75,1,,,,,0,,250,,20,1000,,,"STRIKE, USE_VS_FRIGATES, DO_NOT_AIM, CONSERVE_ALL, CONSERVE_FOR_ANTI_ARMOR, DIRECT_AIM, MISSILE_SPREAD, RANGE_FROM_SHIP_RADIUS, USE_LESS_VS_SHIELDS","threat, fragment, restricted, codex_unlockable, he1",,Threat,,Anti Armor,Medium,Excellent,,,Requires the %s hullmod and at least %s fragments per shot. Deals no damage vs shields.,Fragment Swarm|6|50|no damage,"A swarm of fragments attacks the target, eating through its armor and dismantling the hull once it's exposed, creating new fragments that return to the launching ship's swarm.",,TRUE,15.5
Large Locust Cannon,adel_fragmentdriver_large,0,,3000,2500,,200,,,0,3,,,,HIGH_EXPLOSIVE,,,0.25,0.75,1,,,,,0,,250,,20,1000,,,"STRIKE, USE_VS_FRIGATES, DO_NOT_AIM, CONSERVE_ALL, CONSERVE_FOR_ANTI_ARMOR, DIRECT_AIM, MISSILE_SPREAD, RANGE_FROM_SHIP_RADIUS, USE_LESS_VS_SHIELDS","threat, fragment, restricted, codex_unlockable, he1",,Threat,,Anti Armor,Medium,Excellent,,,Requires the %s hullmod and at least %s fragments per shot. Deals no damage vs shields.,Fragment Swarm|6|50|no damage,"A swarm of fragments attacks the target, eating through its armor and dismantling the hull once it's exposed, creating new fragments that return to the launching ship's swarm.",,TRUE,15.5
